date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:46:56	836/836	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2008%20Oct%202022%2019:09:53%20GMT	https://stmdigitalpro.com/robots.txt		(from )
16:46:56	18690/18690	---M-Z	200	added ('OK')	text/html	date:Mon,%2012%20Sep%202022%2018:04:49%20GMT	https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE	F:/Torrents/Site%20clonado/stmdigitalpro.com/index11f1.html	(from )
16:46:57	57180/57180	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Apr%202020%2004:40:10%20GMT	https://stmdigitalpro.com/assets/css/all.min.css	F:/Torrents/Site%20clonado/stmdigitalpro.com/assets/css/all.min.css	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
16:46:58	4093/4093	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Apr%202020%2004:40:10%20GMT	https://stmdigitalpro.com/assets/css/nice-select.css	F:/Torrents/Site%20clonado/stmdigitalpro.com/assets/css/nice-select.css	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
16:46:58	65192/65192	---M--	200	added ('OK')	text/css	date:Wed,%2001%20Jul%202020%2015:37:54%20GMT	https://stmdigitalpro.com/assets/css/animate.css	F:/Torrents/Site%20clonado/stmdigitalpro.com/assets/css/animate.css	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
16:46:58	4365/4365	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Apr%202020%2004:40:10%20GMT	https://stmdigitalpro.com/assets/css/owl.min.css	F:/Torrents/Site%20clonado/stmdigitalpro.com/assets/css/owl.min.css	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
16:46:58	30753/30753	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Apr%202020%2004:40:10%20GMT	https://stmdigitalpro.com/assets/css/jquery-ui.min.css	F:/Torrents/Site%20clonado/stmdigitalpro.com/assets/css/jquery-ui.min.css	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
16:46:58	6836/6836	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Apr%202020%2004:40:10%20GMT	https://stmdigitalpro.com/assets/css/magnific-popup.css	F:/Torrents/Site%20clonado/stmdigitalpro.com/assets/css/magnific-popup.css	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
16:46:59	1631/1631	---M--	200	added ('OK')	text/css	date:Tue,%2030%20Mar%202021%2016:33:12%20GMT	https://stmdigitalpro.com/assets/css/flaticon.css	F:/Torrents/Site%20clonado/stmdigitalpro.com/assets/css/flaticon.css	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
16:46:59	159515/159515	---M--	200	added ('OK')	text/css	date:Thu,%2010%20Sep%202020%2015:13:40%20GMT	https://stmdigitalpro.com/assets/css/bootstrap.min.css	F:/Torrents/Site%20clonado/stmdigitalpro.com/assets/css/bootstrap.min.css	(from https://stmdigitalpro.com/?gclid=CjwKCAjw5P2aBhAlEiwAAdY7dHFg6Q8GZTSVRuTQUSZjMLkOY-f0EL3_BmVK-qXmUvH7JYLV-5xFkBoC-UgQAvD_BwE)
